,1,2,3,4,5,variable.means,variable.sds
AGREE..I.am.pleasantly.surprised.to.get.a.brochure.in.the.mail,3.4,2.7,3.3,2.4,4.2,3.4,1.1
AGREE..I.think.the.brochure.is.a.waste.of.money.and.paper.it.s.online,1.9,2.8,2.4,4.0,1.3,2.3,1.3
AGREE..I.wish.the.brochure.contained.more.information.about.the.destinations.I.may.travel.to,2.9,3.1,3.2,2.7,3.0,3.0,1.2
AGREE..I.look.forward.to.getting.the.brochure.in.the.mail,3.2,2.5,3.1,1.7,4.4,3.2,1.2
AGREE..I.recycle.or.throw.out.the.brochure.when.it.arrives,1.6,2.4,2.1,3.4,1.2,2.0,1.2
AGREE..The.brochure.explains.EF.Educational.Tours.well,3.7,2.9,3.6,3.3,4.2,3.7,0.9
AGREE..I.use.brochures.to.compare.tour.companies,2.5,2.0,3.2,1.6,3.3,2.7,1.4
AGREE..I.prefer.the.e.brochure.to.the.printed.brochure,2.0,2.7,2.8,4.2,1.5,2.5,1.3
AGREE..The.brochure.makes.me.excited.to.plan.a.trip,3.8,2.8,3.7,2.3,4.6,3.7,1.1
AGREE..I.often.share.the.brochure.with.colleagues,2.2,2.2,3.6,1.7,4.2,3.1,1.4
AGREE..I.prefer.using.the.web.to.find.tours,2.5,3.7,3.5,4.7,2.1,3.1,1.3
AGREE..I.often.share.the.brochure.with.students.and.parents,2.2,2.7,4.0,2.4,4.1,3.3,1.4
AGREE..I.find.the.brochure.useful.in.choosing.a.tour,4.0,2.6,3.6,2.0,4.7,3.6,1.2
AGREE..The.brochure.does.a.good.job.explaining.different.types.of.tours.available.to.me,4.0,2.7,3.7,2.9,4.6,3.8,1.0
AGREE..I.use.the.brochure.to.compare.tour.itineraries,4.2,2.4,3.7,2.1,4.7,3.7,1.3
AGREE..I.use.the.brochure.to.keep.track.of.tours.I.m.interested.in,4.0,2.1,3.5,1.7,4.6,3.5,1.4
AGREE..The.itineraries.influence.my.decision.on.which.tour.to.choose,4.5,2.8,4.2,4.4,4.8,4.3,1.0
AGREE..The.itineraries.show.me.the.educational.value.of.the.tour,3.9,2.8,4.0,4.0,4.4,4.0,1.0
AGREE..The.itineraries.do.not.add.value,1.3,2.3,1.6,1.5,1.1,1.5,0.9
,Content Hoarders,Ambivalents,Hunters&Gatherers,Digital,Conventionalist,,
,,,,,,,
